#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
        23   -1.7259210345e+01    2.9812601024e+02   -3.1078585526e+01    1.3819375181e+01    1.7176627693e+01   -5.7134545083e+01    1.8985686177e+00    6.9807632464e+00    2.7152000000e+04    2.8727102280e-01    9.9746387755e-01
        24   -1.7254539513e+01    2.9796570096e+02   -3.0962229112e+01    1.3707689599e+01    1.7154876927e+01   -5.6977510556e+01    1.8796412706e+00    6.9807632464e+00    2.7093000000e+04    2.8398160140e-01    9.9749091211e-01
        25   -1.7258983348e+01    2.9810553498e+02   -3.0986681409e+01    1.3727698061e+01    1.7119852800e+01   -5.7036695699e+01    1.9493982438e+00    6.9807632464e+00    2.7127000000e+04    2.8347281615e-01    9.9742793901e-01
        26   -1.7254040395e+01    2.9802664352e+02   -3.0898991954e+01    1.3644951559e+01    1.7098816349e+01   -5.6879673586e+01    1.9011020368e+00    6.9807632464e+00    2.7208000000e+04    2.8543821971e-01    9.9756917700e-01
        27   -1.7267283049e+01    2.9844168326e+02   -3.0847138342e+01    1.3579855293e+01    1.7073470434e+01   -5.6751531059e+01    1.8501590367e+00    6.9807632464e+00    2.7202000000e+04    2.8344976902e-01    9.9739015465e-01
        28   -1.7261379161e+01    2.9817717812e+02   -3.0663363830e+01    1.3401984668e+01    1.7088635464e+01   -5.6628269175e+01    1.8955066356e+00    6.9807632464e+00    2.7101000000e+04    2.8356989225e-01    9.9756176134e-01
        29   -1.7269033499e+01    2.9844671297e+02   -3.0789945530e+01    1.3520912031e+01    1.7142537493e+01   -5.6947139448e+01    2.0338931781e+00    6.9807632464e+00    2.7030000000e+04    2.8591601054e-01    9.9739577651e-01
        30   -1.7274612179e+01    2.9866436034e+02   -3.0873376430e+01    1.3598764251e+01    1.7138278848e+01   -5.7062558718e+01    2.0701401942e+00    6.9807632464e+00    2.7089000000e+04    2.8332980474e-01    9.9730902051e-01
        31   -1.7273307531e+01    2.9862084773e+02   -3.0870101851e+01    1.3596794321e+01    1.7151586628e+01   -5.7036207240e+01    2.0337555144e+00    6.9807632464e+00    2.7140000000e+04    2.8445589542e-01    9.9722241115e-01
        32   -1.7257168227e+01    2.9803083847e+02   -3.0928773512e+01    1.3671605285e+01    1.7095942762e+01   -5.6931932810e+01    1.9264532885e+00    6.9807632464e+00    2.7117000000e+04    2.8257087866e-01    9.9749246685e-01
        33   -1.7254989041e+01    2.9799684709e+02   -3.0779000526e+01    1.3524011484e+01    1.7077055229e+01   -5.6762656199e+01    1.9258371975e+00    6.9807632464e+00    2.7095000000e+04    2.8523087502e-01    9.9726935328e-01
        34   -1.7257290496e+01    2.9803680538e+02   -3.0785897850e+01    1.3528607354e+01    1.7075888761e+01   -5.6759360151e+01    1.9168102936e+00    6.9807632464e+00    2.7029000000e+04    2.8372200330e-01    9.9753550034e-01
        35   -1.7258530963e+01    2.9806221170e+02   -3.0841111239e+01    1.3582580275e+01    1.7095483140e+01   -5.6843372736e+01    1.9260151116e+00    6.9807632464e+00    2.7053000000e+04    2.8361948331e-01    9.9760174245e-01
        36   -1.7251991089e+01    2.9785299463e+02   -3.0886122587e+01    1.3634131499e+01    1.7084018971e+01   -5.6801418417e+01    1.8505136121e+00    6.9807632464e+00    2.7033000000e+04    2.8503262997e-01    9.9731352644e-01
        37   -1.7255143142e+01    2.9796716280e+02   -3.0976243323e+01    1.3721100181e+01    1.7079589210e+01   -5.6972466703e+01    1.9358709232e+00    6.9807632464e+00    2.6992000000e+04    2.8051280975e-01    9.9735223405e-01
        38   -1.7261114917e+01    2.9817233873e+02   -3.0957423591e+01    1.3696308674e+01    1.7075563980e+01   -5.6871449115e+01    1.8576982978e+00    6.9807632464e+00    2.6910000000e+04    2.7980947495e-01    9.9725027087e-01
        39   -1.7266976450e+01    2.9839447117e+02   -3.1067516176e+01    1.3800539726e+01    1.7085223292e+01   -5.6999495209e+01    1.8659924943e+00    6.9807632464e+00    2.6882000000e+04    2.8229367733e-01    9.9719169409e-01
        40   -1.7269575306e+01    2.9844566510e+02   -3.0953051912e+01    1.3683476606e+01    1.7124791496e+01   -5.7044365469e+01    1.9857588146e+00    6.9807632464e+00    2.6878000000e+04    2.8307878971e-01    9.9743751341e-01
        41   -1.7258421030e+01    2.9806674575e+02   -3.1101014252e+01    1.3842593222e+01    1.7136768228e+01   -5.7148883075e+01    1.9303373479e+00    6.9807632464e+00    2.6928000000e+04    2.8170879682e-01    9.9737213210e-01
        42   -1.7260785266e+01    2.9816190647e+02   -3.1192952896e+01    1.3932167630e+01    1.7134109507e+01   -5.7203606633e+01    1.8957809835e+00    6.9807632464e+00    2.6967000000e+04    2.8197360039e-01    9.9747332016e-01
        43   -1.7258049970e+01    2.9807411308e+02   -3.1058950245e+01    1.3800900276e+01    1.7111198730e+01   -5.7015908235e+01    1.8649960140e+00    6.9807632464e+00    2.6960000000e+04    2.8094979127e-01    9.9738040993e-01
        44   -1.7245708879e+01    2.9766287004e+02   -3.0791067639e+01    1.3545358761e+01    1.7089850226e+01   -5.6762125126e+01    1.9004440146e+00    6.9807632464e+00    2.6979000000e+04    2.8558214506e-01    9.9727558887e-01
        45   -1.7246716247e+01    2.9777468510e+02   -3.0777116877e+01    1.3530400630e+01    1.7083048019e+01   -5.6786951965e+01    1.9460238224e+00    6.9807632464e+00    2.6991000000e+04    2.8232502937e-01    9.9741081613e-01
