#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        23   -1.7262828255e+01    2.9824272452e+02   -3.0918416937e+01    1.3655588682e+01   -5.6893279838e+01    1.8853963795e+00    1.7108703275e+01    6.9807632464e+00    2.6908000000e+04    2.8560425467e-01    9.9757547665e-01
        24   -1.7260891736e+01    2.9817170485e+02   -3.0962994515e+01    1.3702102779e+01   -5.6917861469e+01    1.9083197381e+00    1.7065783969e+01    6.9807632464e+00    2.6850000000e+04    2.8658427217e-01    9.9740275857e-01
        25   -1.7259903169e+01    2.9815462955e+02   -3.1074376421e+01    1.3814473251e+01   -5.6949877785e+01    1.8516123173e+00    1.7043125800e+01    6.9807632464e+00    2.6900000000e+04    2.8256637217e-01    9.9758738117e-01
        26   -1.7270003407e+01    2.9848276167e+02   -3.0990096134e+01    1.3720092727e+01   -5.6936272652e+01    1.8800000517e+00    1.7085413220e+01    6.9807632464e+00    2.6852000000e+04    2.8133865817e-01    9.9754834326e-01
        27   -1.7268240143e+01    2.9840853715e+02   -3.0870366095e+01    1.3602125952e+01   -5.6754832510e+01    1.8184535464e+00    1.7085249622e+01    6.9807632464e+00    2.6752000000e+04    2.8329404817e-01    9.9719167190e-01
        28   -1.7259748040e+01    2.9814813153e+02   -3.0896803094e+01    1.3637055054e+01   -5.6795976409e+01    1.8015831096e+00    1.7116826959e+01    6.9807632464e+00    2.6827000000e+04    2.8391845500e-01    9.9753424037e-01
        29   -1.7255674768e+01    2.9798850451e+02   -3.0881664266e+01    1.3625989498e+01   -5.6913632305e+01    1.9597776397e+00    1.7091427153e+01    6.9807632464e+00    2.6865000000e+04    2.8172537683e-01    9.9735685784e-01
        30   -1.7259947842e+01    2.9809678626e+02   -3.0860535251e+01    1.3600587409e+01   -5.6898277508e+01    1.9763288304e+00    1.7080650180e+01    6.9807632464e+00    2.6883000000e+04    2.7770703100e-01    9.9764689160e-01
        31   -1.7265069409e+01    2.9831203994e+02   -3.1036022282e+01    1.3770952873e+01   -5.6955914399e+01    1.8586328591e+00    1.7080496011e+01    6.9807632464e+00    2.6938000000e+04    2.8271647317e-01    9.9726670457e-01
        32   -1.7257699453e+01    2.9804917984e+02   -3.0999238756e+01    1.3741539303e+01   -5.6875350680e+01    1.8278735748e+00    1.7067475103e+01    6.9807632464e+00    2.6899000000e+04    2.7916224350e-01    9.9740753286e-01
        33   -1.7260779993e+01    2.9818391364e+02   -3.1064738957e+01    1.3803958964e+01   -5.7100408401e+01    1.9358974659e+00    1.7119008732e+01    6.9807632464e+00    2.6891000000e+04    2.7933525100e-01    9.9739611570e-01
